"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 11 19:36:42 IST 2023","Sun Jun 11 19:36:42 IST 2023","8","Default suite","Default test","Testcases.AllureAnnotations","Testcases.AllureAnnotations","setUp","setUp",""
"passed","Sun Jun 11 20:10:14 IST 2023","Sun Jun 11 20:10:18 IST 2023","4023","Default suite","Default test","Testcases.AllureAnnotations","Testcases.AllureAnnotations","fail","TestNG description 2","Verify fail sceanrio"
"passed","Sun Jun 11 20:10:00 IST 2023","Sun Jun 11 20:10:14 IST 2023","13609","Default suite","Default test","Testcases.AllureAnnotations","Testcases.AllureAnnotations","login","TestNG description 1","Verify login"
